CSRankingAllarea,College Name,Average Count,Faculty,LocationCity,State,Category Name,USnewsCSRankAllarea,USnewsTotalRank,School type,Religious affiliation,Setting,Selectivity,Total undergraduate enrollment,Costs,Room and board,Student-faculty ratio,Total faculty full time,Total faculty part time,Classes with fewer than 20 students percentage,Classes with 50 or more students percentage,6-year graduation rate percentage,Average percent of need met,Received need-based scholarship or grant aid percent,Received need-based self-help aid percent,Average financial aid package dollar,Average need-based scholarship or grant award (undergraduates)dollar,"Average need-based loan (excluding PLUS, unsubsidized, or other private loans) dollar",Fall 2014 acceptance rate percent,Applicants,Average high school GPA,SAT/ACT 25th-75th percentile,Average freshman retention rate percent,Average alumni giving rate percent,Degree-seeking women percent,Degree-seeking men percent,Diversity index,In sorority percent,In fraternity percent,Students who live off-campus percent
1,Carnegie Mellon University,18.3,122,Pittsburgh,PA,National Universis,1,23,private,N/A,urban,most selective,"6,309","2015-2016 Tuition and Fees: 50,410","12,830 (2015-16)",13:01,944,67,65,11,88,83,44,39,"36,001","30,068","5,445",24.6,"19,812",3.7,1340-1540,95,16.7,44,56,0.65,20,21,39
2,Massachusetts Institute of Technology,15,64,Cambridge,MA,National Universis,1,7,private,N/A,urban,most selective,"4,512","2015-2016 Tuition and Fees: 46,704","13,730 (2015-16)",8:01,1230,274,67,14,91,100,57,52,"42,353","39,576","2,974",7.9,"18,356",N/A,1420-1570,98,36.8,46,54,0.7,32,50,13
3,Stanford University,14.3,55,Stanford,CA,National Universis,1,4,private,N/A,suburban,most selective,"7,019","2015-2016 Tuition and Fees: 46,320","14,107 (2015-16)",4:01,1559,24,70,11,95,100,47,36,"47,000","43,350","3,100",5.1,"42,167",4,1380-1570,98,35.5,47,53,0.73,28,24,8
4,University of California--Berkeley,11.4,50,Berkeley,CA,National Universis,1,20,public,N/A,city,most selective,"27,126","2015-2016 In-state tuition and fees: 13,432; Out-of-state tuition and fees: 38,140","15,422 (2015-16)",17:01,1642,630,59,15,91,85,51,46,"23,345","22,135","4,640",16,"73,779",3.9,1290-1490,97,12.8,52,48,0.68,10,10,74
5,University of Illinois--Urbana-Champaign,10.5,55,Champaign,IL,National Universis,5,41,public,N/A,city,more selective,"32,959","2015-2016 In-state tuition and fees: 15,626; Out-of-state tuition and fees: 30,786","11,010 (2015-16)",18:01,1928,3,42,20,84,65,37,36,"15,793","13,522","4,636",59,"35,822",N/A,26-32,94,9.7,44,56,0.58,23,23,50
6,University of Washington,10.3,50,Seattle,WA,National Universis,6,52,public,N/A,urban,more selective,"30,672","2014-2015 In-state tuition and fees: 12,394; Out-of-state tuition and fees: 33,513","10,833 (2014-15)",11:01,3307,1211,35,22,84,N/A,N/A,N/A,N/A,N/A,N/A,55.2,"31,611",3.8,1110-1350,93,13.2,52,48,0.64,15,16,76
7,Georgia Institute of Technology,8.9,81,Atlanta,GA,National Universis,9,36,public,N/A,urban,most selective,"14,682","2015-2016 In-state tuition and fees: 12,204; Out-of-state tuition and fees: 32,396","13,194 (2015-16)",19:01,1054,99,39,25,82,58,35,27,"11,415","9,395","3,983",33.4,"25,884",3.9,1310-1490,96,25.9,34,66,0.57,30,23,46
8,University of California--San Diego,7.8,49,La Jolla,CA,National Universis,15,39,public,N/A,urban,most selective,"24,810","2015-2016 In-state tuition and fees: 14,042; Out-of-state tuition and fees: 38,066","12,243 (2015-16)",19:01,1032,191,38,36,86,85,58,46,"22,196","17,624","5,833",33.5,"73,440",4,1180-1420,95,6.7,48,52,0.65,12,12,56
9,Cornell University,6.9,45,Ithaca,NY,National Universis,6,15,private,N/A,rural,most selective,"14,453","2015-2016 Tuition and Fees: 49,116","13,678 (2015-16)",9:01,1702,384,55,18,93,100,46,44,"43,416","37,559","4,802",14.2,"43,037",N/A,1330-1510,97,29.5,N/A,N/A,0.63,23,27,45
10,University of Michigan,6.8,63,Ann Arbor,MI,National Universis,9,29,public,N/A,city,most selective,"28,395","2014-2015 In-state tuition and fees: 14,336; Out-of-state tuition and fees: 43,377","10,246 (2014-15)",15:01,2660,599,48,18,91,82,30,33,"21,422","15,050","5,205",32.2,"49,776",3.8,29-33,97,19.1,49,51,0.43,25,17,66
