,A1,A2,A3,A4,A5,A6,A7,A8,A9
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,2,2
3,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,1,1,1
5,0,0,0,0,0,0,1,2,2
6,0,0,0,0,0,0,2,0,1
7,0,0,0,0,0,0,2,1,1
8,0,0,0,0,0,0,2,2,2
9,0,0,0,0,0,1,0,0,3
10,0,0,0,0,0,1,0,1,1
11,0,0,0,0,0,1,0,2,2
12,0,0,0,0,0,1,1,0,3
13,0,0,0,0,0,1,1,1,1
14,0,0,0,0,0,1,1,2,2
15,0,0,0,0,0,1,2,0,1
16,0,0,0,0,0,1,2,1,1
17,0,0,0,0,0,1,2,2,2
18,0,0,0,0,1,0,0,0,3
19,0,0,0,0,1,0,0,1,1
20,0,0,0,0,1,0,0,2,2
21,0,0,0,0,1,0,1,0,3
22,0,0,0,0,1,0,1,1,1
23,0,0,0,0,1,0,1,2,2
24,0,0,0,0,1,0,2,0,1
25,0,0,0,0,1,0,2,1,1
26,0,0,0,0,1,0,2,2,2
27,0,0,0,0,1,1,0,0,3
28,0,0,0,0,1,1,0,1,1
29,0,0,0,0,1,1,0,2,2
30,0,0,0,0,1,1,1,0,3
31,0,0,0,0,1,1,1,1,1
32,0,0,0,0,1,1,1,2,2
33,0,0,0,0,1,1,2,0,1
34,0,0,0,0,1,1,2,1,1
35,0,0,0,0,1,1,2,2,2
36,0,0,0,0,2,0,0,0,3
37,0,0,0,0,2,0,0,1,1
38,0,0,0,0,2,0,0,2,2
39,0,0,0,0,2,0,1,0,3
40,0,0,0,0,2,0,1,1,1
41,0,0,0,0,2,0,1,2,2
42,0,0,0,0,2,0,2,0,1
43,0,0,0,0,2,0,2,1,1
44,0,0,0,0,2,0,2,2,2
45,0,0,0,0,2,1,0,0,3
46,0,0,0,0,2,1,0,1,1
47,0,0,0,0,2,1,0,2,2
48,0,0,0,0,2,1,1,0,3
49,0,0,0,0,2,1,1,1,1
50,0,0,0,0,2,1,1,2,2
51,0,0,0,0,2,1,2,0,1
52,0,0,0,0,2,1,2,1,1
53,0,0,0,0,2,1,2,2,2
54,0,0,0,1,0,0,0,0,3
55,0,0,0,1,0,0,0,1,1
56,0,0,0,1,0,0,0,2,2
57,0,0,0,1,0,0,1,0,3
58,0,0,0,1,0,0,1,1,1
59,0,0,0,1,0,0,1,2,2
60,0,0,0,1,0,0,2,0,1
61,0,0,0,1,0,0,2,1,1
62,0,0,0,1,0,0,2,2,2
63,0,0,0,1,0,1,0,0,3
64,0,0,0,1,0,1,0,1,1
65,0,0,0,1,0,1,0,2,2
66,0,0,0,1,0,1,1,0,3
67,0,0,0,1,0,1,1,1,1
68,0,0,0,1,0,1,1,2,2
69,0,0,0,1,0,1,2,0,1
70,0,0,0,1,0,1,2,1,1
71,0,0,0,1,0,1,2,2,2
72,0,0,0,1,1,0,0,0,3
73,0,0,0,1,1,0,0,1,1
74,0,0,0,1,1,0,0,2,2
75,0,0,0,1,1,0,1,0,3
76,0,0,0,1,1,0,1,1,1
77,0,0,0,1,1,0,1,2,2
78,0,0,0,1,1,0,2,0,1
79,0,0,0,1,1,0,2,1,1
80,0,0,0,1,1,0,2,2,2
81,0,0,0,1,1,1,0,0,3
82,0,0,0,1,1,1,0,1,1
83,0,0,0,1,1,1,0,2,2
84,0,0,0,1,1,1,1,0,3
85,0,0,0,1,1,1,1,1,1
86,0,0,0,1,1,1,1,2,2
87,0,0,0,1,1,1,2,0,1
88,0,0,0,1,1,1,2,1,1
89,0,0,0,1,1,1,2,2,2
90,0,0,0,1,2,0,0,0,1
91,0,0,0,1,2,0,0,1,1
92,0,0,0,1,2,0,0,2,2
93,0,0,0,1,2,0,1,0,1
94,0,0,0,1,2,0,1,1,1
95,0,0,0,1,2,0,1,2,2
96,0,0,0,1,2,0,2,0,1
97,0,0,0,1,2,0,2,1,1
98,0,0,0,1,2,0,2,2,2
99,0,0,0,1,2,1,0,0,1
100,0,0,0,1,2,1,0,1,1
101,0,0,0,1,2,1,0,2,2
102,0,0,0,1,2,1,1,0,1
103,0,0,0,1,2,1,1,1,1
104,0,0,0,1,2,1,1,2,2
105,0,0,0,1,2,1,2,0,1
106,0,0,0,1,2,1,2,1,1
107,0,0,0,1,2,1,2,2,2
108,0,0,0,2,0,0,0,0,3
109,0,0,0,2,0,0,0,1,1
110,0,0,0,2,0,0,0,2,2
111,0,0,0,2,0,0,1,0,3
112,0,0,0,2,0,0,1,1,1
113,0,0,0,2,0,0,1,2,2
114,0,0,0,2,0,0,2,0,1
115,0,0,0,2,0,0,2,1,1
116,0,0,0,2,0,0,2,2,2
117,0,0,0,2,0,1,0,0,1
118,0,0,0,2,0,1,0,1,1
119,0,0,0,2,0,1,0,2,2
120,0,0,0,2,0,1,1,0,1
121,0,0,0,2,0,1,1,1,1
122,0,0,0,2,0,1,1,2,2
123,0,0,0,2,0,1,2,0,1
124,0,0,0,2,0,1,2,1,1
125,0,0,0,2,0,1,2,2,2
126,0,0,0,2,1,0,0,0,1
127,0,0,0,2,1,0,0,1,1
128,0,0,0,2,1,0,0,2,2
129,0,0,0,2,1,0,1,0,1
130,0,0,0,2,1,0,1,1,1
131,0,0,0,2,1,0,1,2,2
132,0,0,0,2,1,0,2,0,1
133,0,0,0,2,1,0,2,1,1
134,0,0,0,2,1,0,2,2,2
135,0,0,0,2,1,1,0,0,1
136,0,0,0,2,1,1,0,1,1
137,0,0,0,2,1,1,0,2,2
138,0,0,0,2,1,1,1,0,1
139,0,0,0,2,1,1,1,1,1
140,0,0,0,2,1,1,1,2,2
141,0,0,0,2,1,1,2,0,1
142,0,0,0,2,1,1,2,1,1
143,0,0,0,2,1,1,2,2,2
144,0,0,0,2,2,0,0,0,1
145,0,0,0,2,2,0,0,1,1
146,0,0,0,2,2,0,0,2,2
147,0,0,0,2,2,0,1,0,1
148,0,0,0,2,2,0,1,1,1
149,0,0,0,2,2,0,1,2,2
150,0,0,0,2,2,0,2,0,1
151,0,0,0,2,2,0,2,1,1
152,0,0,0,2,2,0,2,2,2
153,0,0,0,2,2,1,0,0,1
154,0,0,0,2,2,1,0,1,1
155,0,0,0,2,2,1,0,2,2
156,0,0,0,2,2,1,1,0,1
157,0,0,0,2,2,1,1,1,1
158,0,0,0,2,2,1,1,2,2
159,0,0,0,2,2,1,2,0,1
160,0,0,0,2,2,1,2,1,1
161,0,0,0,2,2,1,2,2,2
162,0,0,0,3,0,0,0,0,3
163,0,0,0,3,0,0,0,1,1
164,0,0,0,3,0,0,0,2,2
165,0,0,0,3,0,0,1,0,3
166,0,0,0,3,0,0,1,1,1
167,0,0,0,3,0,0,1,2,2
168,0,0,0,3,0,0,2,0,1
169,0,0,0,3,0,0,2,1,1
170,0,0,0,3,0,0,2,2,2
171,0,0,0,3,0,1,0,0,1
172,0,0,0,3,0,1,0,1,1
173,0,0,0,3,0,1,0,2,2
174,0,0,0,3,0,1,1,0,1
175,0,0,0,3,0,1,1,1,1
176,0,0,0,3,0,1,1,2,2
177,0,0,0,3,0,1,2,0,1
178,0,0,0,3,0,1,2,1,1
179,0,0,0,3,0,1,2,2,2
180,0,0,0,3,1,0,0,0,1
181,0,0,0,3,1,0,0,1,1
182,0,0,0,3,1,0,0,2,2
183,0,0,0,3,1,0,1,0,1
184,0,0,0,3,1,0,1,1,1
185,0,0,0,3,1,0,1,2,2
186,0,0,0,3,1,0,2,0,1
187,0,0,0,3,1,0,2,1,1
188,0,0,0,3,1,0,2,2,2
189,0,0,0,3,1,1,0,0,1
190,0,0,0,3,1,1,0,1,1
191,0,0,0,3,1,1,0,2,2
192,0,0,0,3,1,1,1,0,1
193,0,0,0,3,1,1,1,1,1
194,0,0,0,3,1,1,1,2,2
195,0,0,0,3,1,1,2,0,1
196,0,0,0,3,1,1,2,1,1
197,0,0,0,3,1,1,2,2,2
198,0,0,0,3,2,0,0,0,1
199,0,0,0,3,2,0,0,1,1
200,0,0,0,3,2,0,0,2,2
201,0,0,0,3,2,0,1,0,1
202,0,0,0,3,2,0,1,1,1
203,0,0,0,3,2,0,1,2,2
204,0,0,0,3,2,0,2,0,1
205,0,0,0,3,2,0,2,1,1
206,0,0,0,3,2,0,2,2,2
207,0,0,0,3,2,1,0,0,1
208,0,0,0,3,2,1,0,1,1
209,0,0,0,3,2,1,0,2,2
210,0,0,0,3,2,1,1,0,1
211,0,0,0,3,2,1,1,1,1
212,0,0,0,3,2,1,1,2,2
213,0,0,0,3,2,1,2,0,1
214,0,0,0,3,2,1,2,1,1
215,0,0,0,3,2,1,2,2,2
216,0,0,1,0,0,0,0,0,3
217,0,0,1,0,0,0,0,1,1
218,0,0,1,0,0,0,0,2,2
219,0,0,1,0,0,0,1,0,3
220,0,0,1,0,0,0,1,1,1
221,0,0,1,0,0,0,1,2,2
222,0,0,1,0,0,0,2,0,1
223,0,0,1,0,0,0,2,1,1
224,0,0,1,0,0,0,2,2,2
225,0,0,1,0,0,1,0,0,3
226,0,0,1,0,0,1,0,1,1
227,0,0,1,0,0,1,0,2,2
228,0,0,1,0,0,1,1,0,3
229,0,0,1,0,0,1,1,1,1
230,0,0,1,0,0,1,1,2,2
231,0,0,1,0,0,1,2,0,1
232,0,0,1,0,0,1,2,1,1
233,0,0,1,0,0,1,2,2,2
234,0,0,1,0,1,0,0,0,3
235,0,0,1,0,1,0,0,1,1
236,0,0,1,0,1,0,0,2,2
237,0,0,1,0,1,0,1,0,3
238,0,0,1,0,1,0,1,1,1
239,0,0,1,0,1,0,1,2,2
240,0,0,1,0,1,0,2,0,1
241,0,0,1,0,1,0,2,1,1
242,0,0,1,0,1,0,2,2,2
243,0,0,1,0,1,1,0,0,3
244,0,0,1,0,1,1,0,1,1
245,0,0,1,0,1,1,0,2,2
246,0,0,1,0,1,1,1,0,3
247,0,0,1,0,1,1,1,1,1
248,0,0,1,0,1,1,1,2,2
249,0,0,1,0,1,1,2,0,1
250,0,0,1,0,1,1,2,1,1
251,0,0,1,0,1,1,2,2,2
252,0,0,1,0,2,0,0,0,1
253,0,0,1,0,2,0,0,1,1
254,0,0,1,0,2,0,0,2,2
255,0,0,1,0,2,0,1,0,1
256,0,0,1,0,2,0,1,1,1
257,0,0,1,0,2,0,1,2,2
258,0,0,1,0,2,0,2,0,1
259,0,0,1,0,2,0,2,1,1
260,0,0,1,0,2,0,2,2,2
261,0,0,1,0,2,1,0,0,1
262,0,0,1,0,2,1,0,1,1
263,0,0,1,0,2,1,0,2,2
264,0,0,1,0,2,1,1,0,1
265,0,0,1,0,2,1,1,1,1
266,0,0,1,0,2,1,1,2,2
267,0,0,1,0,2,1,2,0,1
268,0,0,1,0,2,1,2,1,1
269,0,0,1,0,2,1,2,2,2
270,0,0,1,1,0,0,0,0,3
271,0,0,1,1,0,0,0,1,1
272,0,0,1,1,0,0,0,2,2
273,0,0,1,1,0,0,1,0,3
274,0,0,1,1,0,0,1,1,1
275,0,0,1,1,0,0,1,2,2
276,0,0,1,1,0,0,2,0,1
277,0,0,1,1,0,0,2,1,1
278,0,0,1,1,0,0,2,2,2
279,0,0,1,1,0,1,0,0,3
280,0,0,1,1,0,1,0,1,1
281,0,0,1,1,0,1,0,2,2
282,0,0,1,1,0,1,1,0,3
283,0,0,1,1,0,1,1,1,1
284,0,0,1,1,0,1,1,2,2
285,0,0,1,1,0,1,2,0,1
286,0,0,1,1,0,1,2,1,1
287,0,0,1,1,0,1,2,2,2
288,0,0,1,1,1,0,0,0,3
289,0,0,1,1,1,0,0,1,1
290,0,0,1,1,1,0,0,2,2
291,0,0,1,1,1,0,1,0,3
292,0,0,1,1,1,0,1,1,1
293,0,0,1,1,1,0,1,2,2
294,0,0,1,1,1,0,2,0,1
295,0,0,1,1,1,0,2,1,1
296,0,0,1,1,1,0,2,2,2
297,0,0,1,1,1,1,0,0,3
298,0,0,1,1,1,1,0,1,1
299,0,0,1,1,1,1,0,2,2
300,0,0,1,1,1,1,1,0,3
301,0,0,1,1,1,1,1,1,1
302,0,0,1,1,1,1,1,2,2
303,0,0,1,1,1,1,2,0,1
304,0,0,1,1,1,1,2,1,1
305,0,0,1,1,1,1,2,2,2
306,0,0,1,1,2,0,0,0,1
307,0,0,1,1,2,0,0,1,1
308,0,0,1,1,2,0,0,2,2
309,0,0,1,1,2,0,1,0,1
310,0,0,1,1,2,0,1,1,1
311,0,0,1,1,2,0,1,2,2
312,0,0,1,1,2,0,2,0,1
313,0,0,1,1,2,0,2,1,1
314,0,0,1,1,2,0,2,2,2
315,0,0,1,1,2,1,0,0,1
316,0,0,1,1,2,1,0,1,1
317,0,0,1,1,2,1,0,2,2
318,0,0,1,1,2,1,1,0,1
319,0,0,1,1,2,1,1,1,1
320,0,0,1,1,2,1,1,2,2
321,0,0,1,1,2,1,2,0,1
322,0,0,1,1,2,1,2,1,1
323,0,0,1,1,2,1,2,2,2
324,0,0,1,2,0,0,0,0,3
325,0,0,1,2,0,0,0,1,1
326,0,0,1,2,0,0,0,2,2
327,0,0,1,2,0,0,1,0,3
328,0,0,1,2,0,0,1,1,1
329,0,0,1,2,0,0,1,2,2
330,0,0,1,2,0,0,2,0,1
331,0,0,1,2,0,0,2,1,1
332,0,0,1,2,0,0,2,2,2
333,0,0,1,2,0,1,0,0,1
334,0,0,1,2,0,1,0,1,1
335,0,0,1,2,0,1,0,2,2
336,0,0,1,2,0,1,1,0,1
337,0,0,1,2,0,1,1,1,1
338,0,0,1,2,0,1,1,2,2
339,0,0,1,2,0,1,2,0,1
340,0,0,1,2,0,1,2,1,1
341,0,0,1,2,0,1,2,2,2
342,0,0,1,2,1,0,0,0,1
343,0,0,1,2,1,0,0,1,1
344,0,0,1,2,1,0,0,2,2
